Area,Round,Bright,Compact,ShpIndx,Mean_G,Mean_R,Mean_NIR,SD_G,SD_R,SD_NIR,LW,GLCM1,Rect,GLCM2,Dens,Assym,NDVI,BordLngth,GLCM3,Area_140,Round_140,Bright_140,Compact_140,ShpIndx_140,Mean_G_140,Mean_R_140,Mean_NIR_140,SD_G_140,SD_R_140,SD_NIR_140,LW_140,GLCM1_140,Rect_140,GLCM2_140,Dens_140,Assym_140,NDVI_140,BordLngth_140,GLCM3_140,class
131,0.81,222.74,1.66,2.18,192.94,235.11,240.15,11.24,11.47,11.24,8.18,0.43,0.78,6.64,0.87,0.99,-0.1,100,4322.47,9172,2.5,185.14,3.94,3.95,159.45,196.43,199.53,27.81,31.55,31.15,5.04,0.8,0.58,8.56,0.82,0.98,-0.1,1512,1287.52,concrete 
864,0.94,47.56,1.41,1.87,36.82,48.78,57.09,8.15,8.02,8.36,3.05,0.43,0.85,6.75,1.81,0.73,-0.14,220,3331.33,1377,0.46,49.82,1.07,1.32,38.88,51.21,59.38,10.07,11.89,12.01,3.7,0.52,0.96,7.01,1.69,0.86,-0.14,196,2659.74,shadow 
409,1,51.38,1.37,1.53,41.72,51.96,60.48,8.11,9.2,9.61,1.94,0.54,0.86,6.51,1.82,0.69,-0.11,124,2816.16,5932,1.69,55.06,2.68,3.89,59.76,48.66,56.76,30.65,18.59,18.75,3.09,0.9,0.63,8.32,1.38,0.84,0.1,1198,720.38,shadow 
187,1.91,70.08,3.41,3.11,93.13,55.2,61.92,28.6,15.88,15.09,3.23,0.73,0.5,7.28,1.03,0.89,0.26,170,2442.01,1660,1.65,69.8,2.2,3.22,86.22,58.03,65.15,47.93,26.7,27.67,6.33,0.89,0.7,8.56,1.1,0.96,0.2,524,891.36,tree 
116,2.05,89.57,3.06,3.02,73.17,94.89,100.64,5.41,5.2,5.27,2.3,0.43,0.59,6.02,1.23,0.82,-0.13,130,4912.28,2351,1.05,96.24,2,2.56,82.84,100.31,105.55,30.51,32.6,32.05,1.01,0.83,0.75,8.62,2.08,0.08,-0.1,496,1194.76,asphalt 
727,0.34,189.54,1.37,1.35,177.71,188.86,202.07,6.82,6.67,6.98,1.37,0.48,0.89,6.49,2.24,0.25,-0.03,146,2944.01,9815,2.21,198.23,3.89,6.23,197.04,192.86,204.78,25.74,34.33,34.04,1.68,0.86,0.16,8.43,1.1,0.69,0.01,2468,924.57,building 
457,1.03,78.03,2.41,2.5,62.75,83.78,87.57,7.79,7.89,8.17,2.09,0.56,0.64,6.66,1.63,0.71,-0.14,214,3020.89,9484,2.38,68.47,3.72,6.33,57.15,71.85,76.4,21,22.69,22.85,1.93,0.8,0.47,8.02,1.28,0.76,-0.11,2466,1178.71,asphalt 
213,1.7,186.84,2.37,2.98,195.35,183.2,181.97,7.08,6.37,6.92,1.83,0.5,0.66,6.41,1.59,0.54,0.03,174,3439.14,6698,1.76,175.66,2.42,2.77,181.36,173.76,171.85,15.55,18.61,17.17,1.07,0.82,0.6,7.81,1.76,0.24,0.02,906,1200.97,grass 
145,1.81,181.15,3.1,2.37,217.18,159.08,167.19,13.26,12.31,11.26,1.39,0.77,0.6,6.67,1.5,0.44,0.15,114,1825.23,5111,1.33,154.53,2.4,2.97,180.09,139.66,143.84,23.68,21.04,19.56,2.3,0.88,0.77,8.18,1.91,0.57,0.13,850,776.46,tree 
304,0.95,140.3,2.16,1.66,118.05,160.32,142.52,14.75,16.14,16.01,1.79,0.58,0.82,7.02,1.84,0.66,-0.15,116,3020.88,2922,2.45,126.67,4.66,5.51,128.93,125.64,125.44,48.77,52.77,49.04,1.93,0.85,0.46,9.08,1.2,0.79,0.01,1192,1076.84,building 
